epoch,box_loss,class_loss,loss,val_AP,val_AP50,val_AP75,val_APl,val_APm,val_APs,val_ARl,val_ARm,val_ARmax1,val_ARmax10,val_ARmax100,val_ARs,val_box_loss,val_class_loss,val_loss
16,0.9661917090415955,0.06740270555019379,1.033593773841858,0.06371328,0.08655786,0.07214167,0.07874438,0.045512695,0.0,0.17355032,0.16977398,0.074896306,0.14261432,0.17750673,0.0,1.3328779935836792,0.11686240881681442,1.4497401714324951
17,0.9483062624931335,0.06673889607191086,1.0150448083877563,0.052276194,0.07184296,0.061457105,0.06675522,0.04138909,0.0,0.14286728,0.1342449,0.059001416,0.11659098,0.13957106,0.0,1.4583261013031006,0.11916878074407578,1.5774942636489868
18,0.9396411776542664,0.06530963629484177,1.0049513578414917,0.060340013,0.0842619,0.06944354,0.07625465,0.05660982,0.000660066,0.1546183,0.16903354,0.07335429,0.1289174,0.1629014,0.0011111111,1.3541157245635986,0.11622658371925354,1.4703419208526611
19,0.923313558101654,0.06394526362419128,0.9872578978538513,0.06609338,0.087411724,0.074767575,0.083289936,0.043560706,0.0004950495,0.12407911,0.15511127,0.07080099,0.13898678,0.16873178,0.0001572327,1.363927960395813,0.115299291908741,1.4792274236679077
20,0.9249492287635803,0.06361011415719986,0.9885597229003906,0.058603264,0.080426015,0.06800322,0.07094797,0.045173272,0.0,0.10628527,0.13085003,0.06588913,0.11602056,0.1434939,0.0,1.4135879278182983,0.11617414653301239,1.5297629833221436
21,0.9192492365837097,0.0630231499671936,0.9822726845741272,0.07725994,0.10447684,0.08679502,0.096263185,0.05644714,0.0,0.18917298,0.1701231,0.07659545,0.15251517,0.18362682,0.0,1.3564698696136475,0.11452744901180267,1.4709968566894531
22,0.8940312266349792,0.06634072214365005,0.9603722095489502,0.06898825,0.08906378,0.07792888,0.094747655,0.052461922,0.0053807953,0.14399712,0.13323514,0.0740614,0.1382751,0.15628466,0.0047746333,1.2311797142028809,0.1087852269411087,1.3399651050567627
23,0.8661379814147949,0.06275706738233566,0.9288955330848694,0.06809234,0.0894778,0.07767423,0.090868376,0.056859292,0.005692268,0.17301667,0.1280759,0.071684405,0.1353069,0.15240443,0.007911523,1.2420011758804321,0.10840874165296555,1.350409746170044
24,0.8581055402755737,0.061815761029720306,0.919921338558197,0.06669032,0.08837966,0.075654104,0.08943865,0.05644059,0.006644664,0.17759453,0.13186932,0.07470735,0.13741387,0.15524656,0.0076028807,1.2369731664657593,0.10816561430692673,1.3451381921768188
25,0.8428230881690979,0.0611535869538784,0.9039765000343323,0.06819455,0.09030692,0.077563606,0.09034301,0.058217477,0.0059853485,0.18004169,0.14872944,0.08733116,0.15227523,0.17102718,0.007808642,1.22743558883667,0.10752762109041214,1.334963083267212
26,0.8409610390663147,0.06109991297125816,0.9020618796348572,0.067788936,0.08991364,0.07813694,0.08683925,0.058327384,0.006639389,0.17469473,0.151078,0.089128934,0.15371461,0.17261375,0.0084773665,1.2166862487792969,0.10732652246952057,1.3240127563476562
27,0.8349491357803345,0.06089248135685921,0.8958417177200317,0.06856522,0.09099842,0.0776655,0.090199284,0.057938945,0.007144037,0.18379726,0.1412429,0.0787227,0.14438683,0.16311285,0.008940329,1.2248992919921875,0.10754190385341644,1.3324414491653442
28,0.8342484831809998,0.06038980558514595,0.8946385383605957,0.06875089,0.09048367,0.07745402,0.09260458,0.05828092,0.008255585,0.1870317,0.1623905,0.09800694,0.16281043,0.18293396,0.010483539,1.212741732597351,0.10638048499822617,1.3191224336624146
29,0.8303095698356628,0.060167454183101654,0.8904769420623779,0.06941913,0.09160351,0.07847797,0.0892693,0.058952563,0.007510006,0.18260594,0.16559373,0.098636225,0.16364242,0.18367729,0.009197531,1.2177222967147827,0.1062685176730156,1.3239907026290894
30,0.8250625729560852,0.06013191491365433,0.8851949572563171,0.06758698,0.089523904,0.07568509,0.08715135,0.05791198,0.009250359,0.17892307,0.16391268,0.097460456,0.1616403,0.18148711,0.012716049,1.2246253490447998,0.10684285312891006,1.331468105316162
31,0.8239367604255676,0.05965583398938179,0.8835932016372681,0.07159036,0.09426664,0.081185184,0.09349915,0.058807388,0.009449079,0.18290362,0.16431989,0.097779594,0.16359064,0.18485846,0.013806584,1.2251635789871216,0.10637703537940979,1.331540584564209
32,0.8220584988594055,0.05979550629854202,0.8818538784980774,0.07069752,0.093236655,0.07951303,0.090542085,0.05975904,0.0078093857,0.18468077,0.16463123,0.097697504,0.164496,0.18588395,0.009866255,1.2048354148864746,0.1058945432305336,1.3107298612594604
33,0.8143075108528137,0.05954848229885101,0.8738566040992737,0.0710586,0.09276539,0.08067834,0.091781855,0.058203585,0.0089144455,0.18609159,0.16630018,0.097578354,0.16578607,0.18737914,0.011965021,1.2033367156982422,0.10591127723455429,1.309247612953186
34,0.8089375495910645,0.05909089744091034,0.8680289387702942,0.070894204,0.0925379,0.080717616,0.093212955,0.054923553,0.009070937,0.18952209,0.15910946,0.09549834,0.16525382,0.18593875,0.013816873,1.211762547492981,0.10670479387044907,1.3184679746627808
35,0.8144128322601318,0.059054337441921234,0.8734667301177979,0.07397763,0.09660897,0.08364749,0.09756823,0.055927876,0.008137742,0.193956,0.16622818,0.09984386,0.1694941,0.19234003,0.011255144,1.2011604309082031,0.10522747039794922,1.3063883781433105
36,0.8044978380203247,0.05899551510810852,0.8634935021400452,0.07317996,0.09517397,0.08210469,0.098349355,0.053501196,0.008331301,0.19340175,0.15754804,0.09845424,0.16882645,0.18905708,0.012016461,1.206614375114441,0.10497027635574341,1.3115854263305664
37,0.8003388047218323,0.05815824493765831,0.8584960699081421,0.074839994,0.09794554,0.085887365,0.09582484,0.056489293,0.008234833,0.18808427,0.16242622,0.09849848,0.16856223,0.18998681,0.011872428,1.2087063789367676,0.10506107658147812,1.3137673139572144
38,0.8023943901062012,0.05824067443609238,0.8606356382369995,0.075393446,0.09915383,0.08574239,0.09886773,0.055441678,0.0073823305,0.22649954,0.16221742,0.098679826,0.16987959,0.19216618,0.0095061725,1.205417513847351,0.10520529001951218,1.3106229305267334
39,0.7990385890007019,0.05829305574297905,0.8573317527770996,0.07380536,0.096102394,0.08322205,0.097003065,0.058305778,0.007331204,0.1906696,0.16896547,0.101391405,0.17066911,0.19126816,0.010072016,1.2026169300079346,0.10537314414978027,1.307990312576294
40,0.7949300408363342,0.057940494269132614,0.8528702259063721,0.07648055,0.09878457,0.085938536,0.10263094,0.052435733,0.006467605,0.19475724,0.16061956,0.09877505,0.17133883,0.19185756,0.007047325,1.2112970352172852,0.10577177256345749,1.3170684576034546
41,0.8024497628211975,0.05968507006764412,0.8621343970298767,0.08129858,0.11317541,0.087918654,0.100031935,0.06637691,0.009191062,0.23167543,0.18133892,0.09962427,0.17351782,0.19944921,0.012325102,1.2430157661437988,0.10047499090433121,1.343490481376648
42,0.7975046038627625,0.05868957191705704,0.8561932444572449,0.08034388,0.11153723,0.08795925,0.10184308,0.06610191,0.009550766,0.23510878,0.17920537,0.10037371,0.1722998,0.19761434,0.013117284,1.251231074333191,0.10064788162708282,1.3518791198730469
43,0.7939539551734924,0.05792252719402313,0.8518765568733215,0.07915682,0.109287724,0.08617934,0.10116017,0.064740114,0.009511138,0.23277596,0.17726712,0.099319026,0.16937424,0.19430779,0.012335391,1.2502933740615845,0.10088824480772018,1.351182222366333
44,0.794681191444397,0.05814585089683533,0.8528261780738831,0.07959275,0.11020581,0.08664909,0.101354614,0.065245494,0.008792316,0.23372315,0.17871071,0.10201417,0.17037983,0.19497754,0.009002058,1.2400257587432861,0.10014881938695908,1.3401740789413452
45,0.7908675670623779,0.058366917073726654,0.8492348790168762,0.07961303,0.1100631,0.085880354,0.10080448,0.06592874,0.009235324,0.23246112,0.17824204,0.10073215,0.16956727,0.19391118,0.011676955,1.2530006170272827,0.10088641196489334,1.3538870811462402
46,0.7956418395042419,0.05808284878730774,0.8537241220474243,0.080534376,0.11147989,0.0878061,0.10291922,0.0673903,0.009305379,0.23639324,0.17811526,0.10167313,0.1711005,0.19546774,0.011728395,1.2505416870117188,0.10032103955745697,1.3508620262145996
47,0.7974540591239929,0.05798495188355446,0.8554392457008362,0.07900191,0.11015023,0.08558874,0.09997201,0.06537999,0.009227267,0.22649547,0.17629626,0.100422144,0.16867708,0.19274105,0.011676955,1.2563642263412476,0.10071814060211182,1.3570823669433594
48,0.7948185801506042,0.05812188237905502,0.8529404401779175,0.07973427,0.11133595,0.08680493,0.100809835,0.068179704,0.009108481,0.22767581,0.18077035,0.10105762,0.1702451,0.19459146,0.010545268,1.2518310546875,0.10027988255023956,1.3521106243133545
49,0.7937455773353577,0.05778520926833153,0.8515303134918213,0.077979036,0.108534515,0.08552728,0.099217676,0.06580009,0.008971173,0.22856688,0.17947532,0.1012548,0.16878511,0.19330542,0.010493827,1.2483525276184082,0.1005467027425766,1.348899006843567
50,0.7917843461036682,0.05776676908135414,0.8495522737503052,0.07966877,0.110796414,0.08654702,0.101474375,0.06816263,0.008934957,0.23224927,0.18100375,0.10121568,0.16941968,0.19471432,0.009259259,1.240605354309082,0.10012026876211166,1.340725064277649
