epoch,box_loss,class_loss,loss,val_AP,val_AP50,val_AP75,val_APl,val_APm,val_APs,val_ARl,val_ARm,val_ARmax1,val_ARmax10,val_ARmax100,val_ARs,val_box_loss,val_class_loss,val_loss
0,2.131683588027954,4.068396091461182,6.2000732421875,0.00478858,0.0075607705,0.005598153,0.00019036686,0.015812287,0.0,0.0026785715,0.07108843,0.041363213,0.05079365,0.05079365,0.0,2.3044726848602295,0.17707857489585876,2.481550693511963
1,1.5165729522705078,0.1219167411327362,1.6384882926940918,0.0046837674,0.0071283495,0.005757235,0.0089547215,0.0010472931,0.0,0.012336957,0.031178175,0.02905986,0.03142012,0.03142012,0.0,2.296893358230591,0.1726517677307129,2.4695448875427246
2,1.3601042032241821,0.10655073076486588,1.4666544198989868,0.0067931195,0.0109373,0.00781888,0.009087859,0.004073885,0.0,0.01552733,0.03659743,0.032728814,0.03779844,0.03805289,0.0,1.9897618293762207,0.14999312162399292,2.1397533416748047
3,1.2861719131469727,0.09941048920154572,1.3855818510055542,0.012253388,0.019425472,0.013883131,0.016686838,0.0077517433,0.0,0.04457045,0.057550557,0.03504113,0.06292363,0.06592987,0.0,1.672079086303711,0.13571926951408386,1.8077985048294067
4,1.2197126150131226,0.09346047788858414,1.313173770904541,0.014178118,0.02477093,0.014608567,0.017042182,0.018751506,0.0,0.047649376,0.08704918,0.040580083,0.066377506,0.07355459,0.0,1.795350193977356,0.14355629682540894,1.9389066696166992
5,1.17397141456604,0.08862415701150894,1.2625967264175415,0.026492609,0.042877488,0.029296573,0.030117191,0.014762772,0.001320132,0.070146866,0.09727149,0.05959467,0.09021589,0.109948665,0.0009259259,1.6108267307281494,0.13230709731578827,1.743133783340454
6,1.144268274307251,0.08537821471691132,1.2296473979949951,0.030070474,0.043980327,0.034729104,0.040242597,0.023789005,0.000990099,0.0832273,0.105845265,0.060795955,0.097911365,0.11222781,0.0007360673,1.6170549392700195,0.1320413053035736,1.7490967512130737
7,1.1184531450271606,0.08220688998699188,1.2006603479385376,0.031550802,0.04889489,0.0345863,0.037942253,0.019401181,0.0011551155,0.08385074,0.10765356,0.060244843,0.09190602,0.10891327,0.0009259259,1.576397180557251,0.13115215301513672,1.7075506448745728
8,1.0913139581680298,0.08021202683448792,1.1715257167816162,0.032397427,0.047540046,0.03755309,0.03963443,0.017860066,0.0004950495,0.07505727,0.09668989,0.060279854,0.0952318,0.110808276,0.0001754386,1.5323429107666016,0.1246117576956749,1.656955599784851
9,1.063454508781433,0.07728740572929382,1.140740156173706,0.035947885,0.05137084,0.040257394,0.04531386,0.020549232,0.0004950495,0.0891302,0.11727829,0.06484199,0.0994647,0.121908925,0.00017123288,1.4583147764205933,0.12572599947452545,1.5840413570404053
10,1.042423963546753,0.0759483128786087,1.1183724403381348,0.039890997,0.057826247,0.047255818,0.043906834,0.031294,0.000660066,0.0990869,0.13757996,0.069163755,0.117109425,0.14326319,0.00039149888,1.4579769372940063,0.12020101398229599,1.57817804813385
11,1.0324387550354004,0.07405078411102295,1.1064903736114502,0.0369694,0.0529346,0.042407867,0.044303674,0.02504594,0.0,0.07750332,0.113638535,0.06619421,0.104035996,0.12714963,0.0,1.4477341175079346,0.1225927323102951,1.570326805114746
12,1.0156772136688232,0.07247937470674515,1.0881564617156982,0.0415934,0.06155719,0.046126258,0.043062996,0.030194798,0.0004950495,0.11103732,0.12944774,0.06259186,0.10226313,0.13033213,0.00017123288,1.4715782403945923,0.12748490273952484,1.5990631580352783
13,0.991010308265686,0.07056578993797302,1.0615758895874023,0.04355621,0.062500045,0.049985543,0.048111353,0.0331076,0.0,0.085752785,0.14561208,0.0620136,0.11413219,0.14055572,0.0,1.4308260679244995,0.12319117039442062,1.5540168285369873
14,0.9913707375526428,0.06953325122594833,1.060903549194336,0.052572135,0.076147445,0.0601004,0.050012346,0.04734088,0.0004950495,0.0840332,0.17721069,0.079223365,0.12693417,0.16533037,0.00025720164,1.3972676992416382,0.12259693443775177,1.5198651552200317
15,0.9702763557434082,0.06847503781318665,1.038751482963562,0.054104168,0.07469826,0.06294128,0.07038857,0.039877295,0.0,0.1458475,0.14369938,0.077128835,0.12642097,0.14986427,0.0,1.4398571252822876,0.11518145352602005,1.5550395250320435
