epoch,box_loss,class_loss,loss,val_AP,val_AP50,val_AP75,val_APl,val_APm,val_APs,val_ARl,val_ARm,val_ARmax1,val_ARmax10,val_ARmax100,val_ARs,val_box_loss,val_class_loss,val_loss
0,2.0049402713775635,8.825896263122559,10.830835342407227,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.1345021724700928,0.19011397659778595,2.324615001678467
1,1.5216513872146606,0.13315221667289734,1.6548035144805908,0.018222949,0.029172355,0.021412747,0.018296197,0.017600724,0.0,0.026114114,0.0253955,0.02492517,0.028505733,0.028505733,0.0,1.9257029294967651,0.16190318763256073,2.087606906890869
2,1.3730416297912598,0.11637265980243683,1.489414930343628,0.01130893,0.017137483,0.015115696,0.018832145,0.011030531,-1.0,0.03172764,0.02614807,0.021190511,0.026910212,0.026910212,-1.0,2.0744943618774414,0.17317761480808258,2.2476718425750732
3,1.3063925504684448,0.10623162239789963,1.4126241207122803,0.019745374,0.028823549,0.023792244,0.02173301,0.010874394,0.0,0.041082975,0.033083215,0.04092423,0.0483133,0.0483133,0.0,1.6478939056396484,0.13913844525814056,1.787033200263977
4,1.2392385005950928,0.09934104233980179,1.3385807275772095,0.0180795,0.026670216,0.021391919,0.021866858,0.0065731546,0.0,0.039523717,0.025169594,0.042509668,0.047646914,0.047646914,0.0,1.5528134107589722,0.13563716411590576,1.688449740409851
5,1.1942428350448608,0.09300272166728973,1.2872451543807983,0.02759969,0.037214704,0.033619054,0.035733655,0.010779649,0.0,0.075448036,0.037966024,0.062514916,0.0702591,0.0702591,0.0,1.566208004951477,0.1330830603837967,1.6992908716201782
6,1.1412203311920166,0.08882294595241547,1.2300431728363037,0.03379622,0.045929253,0.041750554,0.038397603,0.024742603,0.0,0.097100474,0.057002824,0.078705154,0.08983561,0.08983561,0.0,1.5389610528945923,0.12882767617702484,1.6677883863449097
7,1.1367803812026978,0.08524613082408905,1.2220262289047241,0.027043235,0.037646033,0.033442747,0.033517804,0.013281813,0.0,0.06437662,0.040934633,0.05459224,0.06742315,0.06742315,0.0,2.061868906021118,0.1689007729291916,2.2307698726654053
8,1.0891066789627075,0.08193164318799973,1.17103910446167,0.027719758,0.04377264,0.027271627,0.030302046,0.013988686,0.0,0.05294727,0.041033342,0.056904662,0.06646368,0.06646368,0.0,1.8408933877944946,0.15146267414093018,1.992356300354004
9,1.0807549953460693,0.08001553267240524,1.160770058631897,0.049409486,0.0679017,0.061168138,0.13245822,0.027578875,0.0,0.22709838,0.081284,0.11495141,0.13475952,0.13475952,0.0,1.4887512922286987,0.12182841449975967,1.6105798482894897
